0.000000	500	62496.472793	512.796391
0.000001	500	61019.313509	5964.015392
0.000002	500	59480.249320	8529.340603
0.000003	500	58169.760563	9989.114520
0.000004	500	56535.077809	11557.608001
0.000005	500	55472.597710	12329.108459
0.000006	500	53847.290830	13485.321423
0.000007	500	52876.673182	13894.222266
0.000008	500	51117.531578	14700.450337
0.000009	500	50449.521885	15028.171585
0.000010	500	48968.318087	15486.110882
0.000020	500	38705.882487	16919.150140
0.000030	500	31476.391765	16139.514812
0.000040	500	25694.219053	14376.211298
0.000050	500	21695.591334	12551.609651
0.000060	500	18751.933959	11207.738676
0.000070	500	16324.447427	9615.814336
0.000080	500	14332.032335	8679.559456
0.000090	500	13122.705594	7729.692337
0.000100	500	11767.108631	6911.595336
0.000200	500	6341.598712	3254.136683
0.000300	500	4552.442110	2187.459825
0.000400	500	3716.628085	1675.759648
0.000500	500	3154.243019	1360.655453
0.000600	500	2795.413530	1148.801852
0.000700	500	2550.484148	990.858265
0.000800	500	2366.876639	897.617308
0.000900	500	2220.771468	800.825918
0.001000	500	2097.642506	713.390934
0.002000	500	1665.124858	428.276223
0.003000	500	1589.497295	319.834876
0.004000	500	1604.802528	265.897776
0.005000	500	1662.528229	229.050501
0.006000	500	1741.144629	203.995036
0.007000	500	1832.043365	185.193656
0.008000	500	1933.971315	170.544954
0.009000	500	2035.605282	159.037559
0.010000	500	2140.564519	147.410206
0.020000	500	3299.681132	97.569244
0.030000	500	4511.290422	93.583585
0.040000	500	5733.933130	99.923980
0.050000	500	6966.540251	110.509828
0.060000	500	8194.571297	122.123524
0.070000	500	9427.659774	134.593588
0.080000	500	10665.127153	145.882382
0.090000	500	11902.090530	158.455412
0.100000	500	13137.772229	168.622130
0.200000	500	25502.220228	291.519566
0.300000	500	37877.718863	410.608413
0.400000	500	50255.297439	537.708366
0.500000	500	62625.636168	649.006383
0.600000	500	75009.818572	770.515772
0.700000	500	87392.550733	886.193846
0.800000	500	99758.467690	1007.748059
0.900000	500	112126.875718	1122.906553
1.000000	500	124489.707660	1249.060040
