0.1	500	28488.387370	6892.900983	334.628428
0.2	500	25014.656884	7007.068952	331.445550
0.3	500	20451.188033	6889.252212	328.024180
0.4	500	13360.736103	6198.976847	321.090046
0.5	500	4928.443651	2950.436433	351.006745
0.6	500	3436.639067	967.567776	391.665084
0.7	500	3453.375481	537.486408	404.403576
0.8	500	3604.782645	407.315591	412.542148
0.9	500	3756.785426	327.985787	418.258415
1.0	500	3848.179254	250.445323	421.593805
1.1	500	3964.094248	211.822782	424.749944
1.2	500	4055.379663	195.825105	427.069432
1.3	500	4138.058140	172.596560	429.051542
1.4	500	4233.006962	162.331902	431.026991
1.5	500	4297.490722	147.758776	432.287638
