0.1	500	20982.034954	6066.881425	331.914374
0.2	500	15125.327544	5727.435244	329.836877
0.3	500	4736.726159	2169.538550	377.946004
0.4	500	4363.349719	625.245065	423.706719
0.5	500	4968.784371	460.816036	437.220616
0.6	500	5498.251320	308.217855	444.841842
0.7	500	6039.937491	249.949242	450.511369
0.8	500	6582.636919	240.092931	454.909664
0.9	500	7093.623293	198.758914	458.388549
1.0	500	7657.497291	193.693631	461.552536
1.1	500	8221.074854	200.867975	464.398148
1.2	500	8806.728327	197.763398	466.776916
1.3	500	9421.978623	189.378410	469.033466
1.4	500	10065.840161	193.209999	470.998655
1.5	500	10741.665008	193.375115	472.885760
