100	2.2	2073.824827
110	2.2	2471.100105
120	2.2	2897.625501
130	2.2	3352.441832
140	2.2	3834.659096
150	2.2	4343.448604
160	2.2	4878.036355
170	2.2	5437.697406
180	2.2	6021.751035
190	2.2	6629.556567
200	2.2	7260.509731
210	2.2	7914.039476
220	2.2	8589.605164
230	2.2	9286.694082
240	2.2	10004.819235
250	2.2	10743.517376
260	2.2	11502.347232
270	2.2	12280.887917
280	2.2	13078.737495
290	2.2	13895.511683
300	2.2	14730.842668
310	2.2	15584.378038
320	2.2	16455.779797
330	2.2	17344.723471
340	2.2	18250.897289
350	2.2	19174.001424
360	2.2	20113.747303
370	2.2	21069.856961
380	2.2	22042.062455
390	2.2	23030.105312
400	2.2	24033.736023
410	2.2	25052.713572
420	2.2	26086.804996
430	2.2	27135.784981
440	2.2	28199.435476
450	2.2	29277.545341
460	2.2	30369.910016
470	2.2	31476.331207
480	2.2	32596.616599
490	2.2	33730.579579
500	2.2	34878.038979
510	2.2	36038.818842
520	2.2	37212.748185
530	2.2	38399.660793
540	2.2	39599.395015
550	2.2	40811.793572
560	2.2	42036.703381
570	2.2	43273.975382
580	2.2	44523.464381
590	2.2	45785.028893
600	2.2	47058.531003
610	2.2	48343.836226
620	2.2	49640.813379
630	2.2	50949.334458
640	2.2	52269.274518
650	2.2	53600.511568
660	2.2	54942.926458
670	2.2	56296.402783
680	2.2	57660.826786
690	2.2	59036.087264
700	2.2	60422.075484
710	2.2	61818.685099
720	2.2	63225.812066
730	2.2	64643.354572
740	2.2	66071.212962
750	2.2	67509.289668
760	2.2	68957.489141
770	2.2	70415.717791
780	2.2	71883.883925
790	2.2	73361.897684
800	2.2	74849.670993
810	2.2	76347.117505
820	2.2	77854.152547
830	2.2	79370.693074
840	2.2	80896.65762
850	2.2	82431.966251
860	2.2	83976.540522
870	2.2	85530.303435
880	2.2	87093.179399
890	2.2	88665.094189
900	2.2	90245.974909
910	2.2	91835.749957
920	2.2	93434.348986
930	2.2	95041.702877
940	2.2	96657.7437
950	2.2	98282.404686
960	2.2	99915.620196
970	2.2	101557.325692
980	2.2	103207.457707
990	2.2	104865.953822
1000	2.2	106532.752636

