0	0.051883
1	0.051022
2	0.011386
3	0.009020
4	0.008068
5	0.005834
6	0.006506
7	0.005485
8	0.004479
9	0.004786
10	0.004324
11	0.004331
12	0.003871
13	0.003690
14	0.003377
15	0.003611
16	0.004110
17	0.003167
18	0.002582
19	0.002894
20	0.002512
21	0.002165
22	0.002879
23	0.003098
24	0.002940
25	0.003458
26	0.001990
27	0.002762
28	0.002077
29	0.001821
30	0.001723
31	0.001776
32	0.001674
33	0.001548
34	0.002139
35	0.001659
36	0.001719
37	0.002258
38	0.001860
39	0.001735
40	0.001370
41	0.001737
42	0.002073
43	0.001699
44	0.001410
45	0.001488
46	0.001589
47	0.001521
48	0.001558
49	0.001424
50	0.001602
51	0.001686
52	0.001214
53	0.001518
54	0.001464
55	0.001154
56	0.001251
57	0.000951
58	0.001776
59	0.001156
60	0.001382
61	0.001337
62	0.001271
63	0.001886
64	0.001355
65	0.000935
66	0.001377
67	0.000827
68	0.001381
69	0.003769
70	0.001217
71	0.001662
72	0.001368
73	0.001522
74	0.002283
75	0.001765
76	0.002570
77	0.002568
78	0.001795
79	0.002627
80	0.002347
81	0.001359
82	0.001361
83	0.001474
84	0.001006
85	0.001425
86	0.000749
87	0.001817
