0.15	500	22504.956049	6373.536157	331.310791	0.15	18.006634	0.15	641.976000
0.1	500	23594.280419	6184.034618	333.164444	0.1	18.334951	0.1	630.228500
0.25	500	19222.470925	6567.218462	328.303691	0.25	16.660744	0.25	702.694000
0.2	500	21022.234485	6570.535791	329.522619	0.2	17.397995	0.2	665.024500
0.35	500	12844.978810	5949.039256	323.076913	0.35	13.968140	0.35	843.695500
0.3	500	16242.537431	6252.959487	326.628128	0.3	15.430677	0.3	761.512500
0.45	500	4819.714063	2744.077654	357.929841	0.45	7.611231	0.45	1295.743000
0.4	500	8636.655759	5112.842482	328.818612	0.4	11.285572	0.4	996.235500
0.55	500	3491.874743	984.838908	390.272294	0.55	5.357656	0.55	1828.592500
0.5	500	3650.159892	1305.363929	379.085638	0.5	5.899701	0.5	1597.848500
0.65	500	3467.177516	609.853638	402.736290	0.65	4.855322	0.65	2169.363000
0.6	500	3472.293345	780.877090	397.985612	0.6	5.049591	0.6	2016.615000
0.75	500	3570.830581	452.983004	410.246672	0.75	4.605270	0.75	2411.591000
0.7	500	3534.203704	520.471543	407.110235	0.7	4.710142	0.7	2301.433000
0.85	500	3668.804269	364.621423	415.009203	0.85	4.442652	0.85	2593.634000
0.8	500	3625.920817	426.630202	412.888780	0.8	4.516096	0.8	2509.534500
0.95	500	3734.195289	295.723960	418.295906	0.95	4.338489	0.95	2729.152000
0.9	500	3698.972525	319.864628	416.740104	0.9	4.387497	0.9	2664.948500
1.05	500	3832.536784	283.256547	421.393720	1.05	4.257976	1.05	2837.170500
1.0	500	3776.329838	276.398001	419.589500	1.0	4.295719	1.0	2784.877000
1.15	500	3875.985074	204.272977	423.039610	1.15	4.196708	1.15	2925.041500
1.1	500	3847.680168	236.786957	422.023999	1.1	4.225493	1.1	2882.911500
1.25	500	3930.016927	204.323849	424.629345	1.25	4.146279	1.25	2996.344500
1.2	500	3906.214463	212.617272	423.873392	1.2	4.170720	1.2	2959.924000
1.35	500	3972.446282	173.120024	425.952888	1.35	4.106082	1.35	3053.946500
1.3	500	3958.446259	203.446470	425.361262	1.3	4.125254	1.3	3025.931000
1.45	500	4015.833393	170.368000	427.102028	1.45	4.071974	1.45	3104.175000
1.4	500	3999.510899	174.936939	426.564955	1.4	4.088936	1.4	3080.806500
1.5	500	4030.263097	154.587296	427.530690	1.5	4.057725	1.5	3124.850000
