0	300	22502.996618	183.171530	208.421986	0	86.313379	0	0.000000
100	300	5562.443956	3115.346523	204.358502	100	5.868286	100	859.022000
105	300	5134.978948	2764.188663	209.545911	105	5.408106	105	1061.706000
10	300	22478.101753	429.243317	208.377066	10	60.874109	10	0.010000
110	300	3829.061859	1075.815769	223.936420	110	4.964067	110	1599.750000
115	300	3914.748039	1043.158173	231.704344	115	4.538443	115	1953.626000
120	300	4121.331234	984.818142	239.598188	120	4.117919	120	2369.143000
125	300	4409.753152	981.294820	247.803409	125	3.723165	125	2850.830000
130	300	4875.530485	1069.431724	257.075423	130	3.340217	130	3487.037000
135	300	5529.368647	1245.868085	265.736601	135	2.973647	135	4318.353000
140	300	6511.531416	1559.306962	273.949708	140	2.597954	140	5433.263000
145	300	7920.622370	1977.219184	281.173847	145	2.266763	145	6991.399000
150	300	9804.506662	2589.337396	286.126236	150	1.961880	150	8977.868000
155	300	12686.560843	3309.579449	290.292113	155	1.638274	155	11947.853000
15	300	22380.133686	985.117927	208.159320	15	47.011836	15	0.081000
160	300	16860.866725	4287.644078	293.250000	160	1.329640	160	16210.889000
20	300	22104.791550	1908.633310	207.592971	20	37.615650	20	0.353000
25	300	21527.080622	2740.218650	206.264765	25	30.883185	25	1.086000
30	300	20550.132613	3668.667977	204.494527	30	25.836286	30	2.623000
35	300	19361.629353	4310.028259	202.430797	35	22.035749	35	5.742000
40	300	17971.841236	4967.258658	199.309393	40	19.139022	40	10.851000
45	300	16480.162686	5361.494465	196.798146	45	16.699164	45	18.988000
50	300	15458.483592	5233.639802	197.509101	50	14.796650	50	30.503000
55	300	13850.955522	5352.960637	194.536977	55	13.168798	55	49.474000
5	300	22495.753596	192.816308	208.422413	5	77.625329	5	0.000000
60	300	12703.276458	5361.551879	192.650276	60	11.907750	60	74.472000
65	300	11766.785787	5287.336019	192.070437	65	10.890496	65	109.339000
70	300	10819.972088	5250.120936	192.072360	70	10.003610	70	155.670000
75	300	9707.868069	5068.320590	192.281802	75	9.152054	75	221.375000
80	300	9005.774573	4901.050768	193.314415	80	8.324383	80	290.193000
85	300	7825.383589	4453.825075	194.959135	85	7.573421	85	402.875000
90	300	6700.238592	3766.022727	197.729684	90	6.978302	90	548.628000
95	300	6057.253169	3445.537478	200.857310	95	6.405238	95	694.781000
